"MacroTrends Data Download"
"CTRM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-11-13,24.4000,26.2000,23.6400,24.3000,19870
2019-11-14,24.3000,25.5000,23.2000,24.9000,32094
2019-11-15,24.8000,27.6000,24.1960,26.2000,41139
2019-11-18,26.2000,26.2000,24.1000,25.0000,17832
2019-11-19,24.7000,26.5000,24.1000,25.7670,11610
2019-11-20,25.8000,26.8000,24.5000,25.6000,16069
2019-11-21,24.8000,26.0000,22.2000,22.8000,34830
2019-11-22,22.9000,23.1000,21.1500,22.4000,20971
2019-11-25,21.6000,23.5000,21.6000,22.6000,10593
2019-11-26,22.4000,23.3000,22.4000,22.6000,6615
2019-11-27,22.0000,23.2020,21.4000,22.9000,12645
2019-11-29,22.2000,23.8000,22.2000,23.8000,4285
2019-12-02,23.8000,23.8000,22.6000,22.9000,8458
2019-12-03,22.6000,22.8990,21.5000,22.5000,5689
2019-12-04,22.4350,23.1150,21.8000,22.3000,8824
2019-12-05,21.8000,23.0000,21.8000,22.6000,3735
2019-12-06,22.7000,23.7000,22.0000,23.6000,6711
2019-12-09,22.9000,23.9000,21.8000,22.7000,6135
2019-12-10,22.5000,23.2990,21.9000,22.4000,5248
2019-12-11,22.2000,22.4750,20.7000,21.9000,6878
2019-12-12,21.5000,23.7000,21.4000,22.7000,20692
2019-12-13,22.8000,23.0000,21.6000,22.1560,3503
2019-12-16,22.1000,22.5000,20.2000,20.6460,19232
2019-12-17,21.5000,21.5000,18.2000,19.0000,13151
2019-12-18,19.1000,20.4000,18.3000,19.7000,29236
2019-12-19,19.3000,20.5410,18.6000,19.4000,20447
2019-12-20,19.2000,20.0000,19.1000,19.5000,12641
2019-12-23,19.3000,19.7000,18.7020,19.0000,11239
2019-12-24,18.8000,19.4000,18.6000,18.6990,7621
2019-12-26,18.7000,19.1990,18.7000,18.8000,5369
2019-12-27,18.6000,19.1000,18.5000,18.6070,6348
2019-12-30,18.3000,18.8000,18.1500,18.3500,8235
2019-12-31,18.1000,19.1140,18.0000,18.5000,11367
2020-01-02,18.6000,19.7960,18.5300,19.0370,20082
2020-01-03,19.1000,20.3000,19.0000,19.2000,14070
2020-01-06,19.8000,20.0000,19.1060,19.4000,9122
2020-01-07,19.4000,19.5000,18.7000,19.2000,5866
2020-01-08,18.8000,19.0000,18.6000,18.8000,5355
2020-01-09,18.5000,18.9090,18.2000,18.4000,5298
2020-01-10,18.5000,18.7000,17.6000,18.0000,10020
2020-01-13,18.1000,18.6000,17.5000,18.2000,11887
2020-01-14,19.3000,19.4000,18.3010,18.7000,11328
2020-01-15,18.9000,18.9000,18.4510,18.6000,2833
2020-01-16,18.4000,19.2000,18.4000,18.5000,5322
2020-01-17,18.4000,18.9000,18.0000,18.6000,4415
2020-01-21,18.2000,18.6000,17.5000,17.7000,7139
2020-01-22,17.5000,18.6000,16.7000,17.0000,8273
2020-01-23,17.0000,17.2000,16.4000,16.9340,5278
2020-01-24,16.5000,16.7990,15.3000,15.3000,14049
2020-01-27,15.3000,16.4000,15.1000,16.0000,9097
2020-01-28,14.2000,15.2000,13.6000,14.7000,20145
2020-01-29,14.2000,17.0000,13.8020,14.7000,29070
2020-01-30,14.1000,15.0000,12.5370,13.3000,13382
2020-01-31,13.8000,14.4410,12.4760,13.8000,9047
2020-02-03,13.4000,14.6000,13.0000,14.2000,3093
2020-02-04,14.0000,14.4500,13.6000,13.6000,2375
2020-02-05,13.6000,14.3380,13.6000,14.0700,1207
2020-02-06,13.7000,15.7210,12.5000,13.0000,9543
2020-02-07,13.5000,13.5500,12.9310,13.3500,3112
2020-02-10,12.9000,13.2060,12.5000,12.9000,3782
2020-02-11,12.6000,12.8000,11.9390,12.6970,5159
2020-02-12,12.5000,14.8000,12.1020,12.7800,22790
2020-02-13,12.7000,12.9000,12.1000,12.5000,4432
2020-02-14,12.6050,12.7000,12.0010,12.1000,4883
2020-02-18,11.6000,12.4730,11.6000,12.0000,5464
2020-02-19,12.0240,12.3000,11.7000,11.8500,4382
2020-02-20,11.8760,11.9930,10.2000,10.2050,35149
2020-02-21,10.5070,11.7000,10.2000,11.3000,32922
2020-02-24,10.9000,11.1000,10.1000,10.5000,13654
2020-02-25,10.5000,11.5000,10.4000,10.5650,17003
2020-02-26,10.3000,10.5000,10.1000,10.2760,5625
2020-02-27,9.7000,9.7990,8.1010,9.4000,14691
2020-02-28,8.5000,9.2000,8.1220,8.8000,6508
2020-03-02,8.5000,9.8000,8.3000,9.7540,7408
2020-03-03,9.8000,10.7000,9.1350,9.5500,6839
2020-03-04,13.4000,26.0000,9.1030,9.2000,1567206
2020-03-05,10.0000,11.4000,9.0000,9.1020,154121
2020-03-06,8.3080,9.6000,7.6000,8.3000,122008
2020-03-09,7.8000,7.8000,6.5000,7.0892,46930
2020-03-10,7.6000,7.6000,6.5000,7.3400,30985
2020-03-11,7.4000,7.6000,6.7000,7.1000,46321
2020-03-12,7.1290,7.4990,6.5820,7.2400,25859
2020-03-13,7.0450,9.7870,6.4620,6.6570,214945
2020-03-16,7.0000,7.5000,5.0200,6.0300,52051
